Indice,texto,id_paper
30,"Estudio encuentra que el café inhibe el SARS-Cov-2 La única medida de protección frente al Covid-19 es la vacuna  Aunque dicho estudio fue publicado en el 2022, éste no ha sido avalado por la OMS. Los expertos consultados aseguran que no hay ninguna relación entre el Covid-19 y el café. En el 2020, el mundo se...",SRC_001
751,"Falla en el Pacífico causará terremoto en Ecuador, Colombia o Perú No es posible predecir un terremoto, el post no tiene fundamento científico  Hay un estudio sobre filtraciones en el lecho marino; sin embargo, no se menciona nada de terremotos y dichas investigaciones siguen en proceso.  Los desastres naturales han sido un blanco...",SRC_012
1747,"Los supervivientes del #Covid19 podrían tener mayor riesgo en estos casos. La información sale de un estudio a gran escala (más de 1,25 millones de registros) de la Universidad de Oxford. Los supervivientes del #Covid19 podrían tener mayor riesgo en estos casos. La información sale de un estudio a gran escala (más de 1,25 millones de registros) de la Universidad de Oxford.",SRC_020
2402,Es falso que las gárgaras de sal evitan el contagio de Covid19. La investigación del científico alemán Clemens Wendtner comprobó el alto nivel de concentración del virus en la garganta. #NoComasCuento Es falso que las gárgaras de sal evitan el contagio de Covid19. La investigación del científico alemán Clemens Wendtner comprobó el alto nivel de concentración del virus en la garganta. #NoComasCuento,SRC_031
2458,#NoComasCuento de acuerdo a la @WHO la #COVID19 afecta al sistema respiratorio. El rumor nace de la interpretación de un estudio realizado en el Hospital Policlínico de Milán (Italia). Revisa a detalle el origen de este contenido engañoso: #NoComasCuento de acuerdo a la @WHO la #COVID19 afecta al sistema respiratorio. El rumor nace de la interpretación de un estudio realizado en el Hospital Policlínico de Milán (Italia). Revisa a detalle el origen de este contenido engañoso:,SRC_091
2528,"Francia identificó una nueva variante, pero todavía está en estudios y no se puede saber si es más infecciosa o no. Los expertos especifican que se trata de una de las dos derivadas de la B.1.640 que se había localizado en la República del Congo. #IHU Francia identificó una nueva variante, pero todavía está en estudios y no se puede saber si es más infecciosa o no. Los expertos especifican que se trata de una de las dos derivadas de la B.1.640 que se había localizado en la República del Congo. #IHU",SRC_047
2704,"#LoMásVisto | Pfizer y BioNTech pidieron oficialmente la autorización. De acuerdo con un estudio israelí, un refuerzo de la vacuna aumenta la respuesta inmunitaria y disminuye las tasas de infecciones y enfermedades graves ocasionados por el #Covid19. #LoMásVisto | Pfizer y BioNTech pidieron oficialmente la autorización. De acuerdo con un estudio israelí, un refuerzo de la vacuna aumenta la respuesta inmunitaria y disminuye las tasas de infecciones y enfermedades graves ocasionados por el #Covid19.",SRC_062
2720,"Pfizer y BioNTech pidieron oficialmente la autorización. De acuerdo con un estudio israelí, un refuerzo de la vacuna aumenta la respuesta inmunitaria y disminuye las tasas de infecciones y enfermedades graves ocasionados por el #Covid19. Pfizer y BioNTech pidieron oficialmente la autorización. De acuerdo con un estudio israelí, un refuerzo de la vacuna aumenta la respuesta inmunitaria y disminuye las tasas de infecciones y enfermedades graves ocasionados por el #Covid19.",SRC_062
2839,"La investigación se hizo en el Hospital Jin Yin-tan, de Wuhan. Dos años después de que el mundo ha convivido con el coronavirus, este estudio afirma que el 55% de hospitalizados reportaron al menos un síntoma del #Covid19. Lee la verificación completa: La investigación se hizo en el Hospital Jin Yin-tan, de Wuhan. Dos años después de que el mundo ha convivido con el coronavirus, este estudio afirma que el 55% de hospitalizados reportaron al menos un síntoma del #Covid19. Lee la verificación completa:",SRC_065
2885,"#LoMásVisto | Un pequeño estudio científico en Qatar habla del tema, pero aún está en revisión. 30.000 trabajadores de la salud participaron. La OMS afirma que la vacuna contra la influenza no protege contra el #Covid19. #LoMásVisto | Un pequeño estudio científico en Qatar habla del tema, pero aún está en revisión. 30.000 trabajadores de la salud participaron. La OMS afirma que la vacuna contra la influenza no protege contra el #Covid19.",SRC_072
2955,#LatamChequea De acuerdo a la @WHO la #COVID19 afecta al sistema respiratorio. El rumor nace de la interpretación de un estudio realizado en el Hospital Policlínico de Milán (Italia). Revisa a detalle el origen de este contenido engañoso: #LatamChequea De acuerdo a la @WHO la #COVID19 afecta al sistema respiratorio. El rumor nace de la interpretación de un estudio realizado en el Hospital Policlínico de Milán (Italia). Revisa a detalle el origen de este contenido engañoso:,SRC_081
2956,#NoComasCuento la #COVID19 aún se trata como una enfermedad que afecta al sistema respiratorio. Este rumor surge de una interpretación incorrecta de un estudio médico realizado en Italia. #NoComasCuento la #COVID19 aún se trata como una enfermedad que afecta al sistema respiratorio. Este rumor surge de una interpretación incorrecta de un estudio médico realizado en Italia.,SRC_081
3035,"El supuesto ensayo realizado en Ecuador se hizo a 104 personas y no todas fueron diagnosticadas con COVID-19, no existía grupo de control en que no se administró el CDS y no se realizaron pruebas para confirmar que están curadas. El supuesto ensayo realizado en Ecuador se hizo a 104 personas y no todas fueron diagnosticadas con COVID-19, no existía grupo de control en que no se administró el CDS y no se realizaron pruebas para confirmar que están curadas.",SRC_085
3195,"#LoMásVisto | La estimulación del nervio vago ayuda a pacientes graves con #Covid19. Este método consiste en detener la reacción inflamatoria, e incluso tiene la capacidad de contrarrestar la inflamación, de acuerdo con la Universidad Técnica de Viena. #LoMásVisto | La estimulación del nervio vago ayuda a pacientes graves con #Covid19. Este método consiste en detener la reacción inflamatoria, e incluso tiene la capacidad de contrarrestar la inflamación, de acuerdo con la Universidad Técnica de Viena.",SRC_088
3198,"La estimulación del nervio vago ayuda a pacientes graves con #Covid19. Este método consiste en detener la reacción inflamatoria, e incluso tiene la capacidad de contrarrestar la inflamación, de acuerdo con la Universidad Técnica de Viena (TU). La estimulación del nervio vago ayuda a pacientes graves con #Covid19. Este método consiste en detener la reacción inflamatoria, e incluso tiene la capacidad de contrarrestar la inflamación, de acuerdo con la Universidad Técnica de Viena (TU).",SRC_088
3200,Un estudio identificó estos síntomas como parte de esa enfermedad. 197 pacientes que habían dado positivo entre mayo y julio participaron de la investigación. Esta determinó que presentaron lesiones alrededor de los genitales y el ano. Un estudio identificó estos síntomas como parte de esa enfermedad. 197 pacientes que habían dado positivo entre mayo y julio participaron de la investigación. Esta determinó que presentaron lesiones alrededor de los genitales y el ano.,SRC_089
3255,#LoMásVisto | Científicos aseguran que el calentamiento global hace que lagartos nazcan 'envejecidos'. Un estudio revela que las altas temperaturas tienen influencia sobre esta característica. Se habla de un envejecimiento acelerado. #LoMásVisto | Científicos aseguran que el calentamiento global hace que lagartos nazcan 'envejecidos'. Un estudio revela que las altas temperaturas tienen influencia sobre esta característica. Se habla de un envejecimiento acelerado.,SRC_090
3260,"La Tierra sí tiene una miniluna. No se sabe por cuánto tiempo estará presente, los expertos dicen que es temporal. El estudio lo hicieron científicos, pero fue financiado por la NASA. Lee la verificación completa: La Tierra sí tiene una miniluna. No se sabe por cuánto tiempo estará presente, los expertos dicen que es temporal. El estudio lo hicieron científicos, pero fue financiado por la NASA. Lee la verificación completa:",SRC_091
3277,Científicos aseguran que el calentamiento global hace que lagartos nazcan 'envejecidos'. Un estudio revela que las altas temperaturas tienen influencia sobre esta característica. Se habla de un envejecimiento acelerado. Lee la verificación completa: Científicos aseguran que el calentamiento global hace que lagartos nazcan 'envejecidos'. Un estudio revela que las altas temperaturas tienen influencia sobre esta característica. Se habla de un envejecimiento acelerado. Lee la verificación completa:,SRC_090
3316,"El nuevo virus se llama #Langya y ya ha afectado a 35 personas. Tras las pruebas realizadas en animales, el virus se encontró principalmente en las musarañas, según informaron los investigadores. Lee la verificación completa: El nuevo virus se llama #Langya y ya ha afectado a 35 personas. Tras las pruebas realizadas en animales, el virus se encontró principalmente en las musarañas, según informaron los investigadores. Lee la verificación completa:",SRC_092
3346,#LoMásVisto | Investigadores sí descifraron el genoma de la medusa inmortal. El estudio identifica las posibles claves genómicas de la inmortalidad de ‘Turritopsis dohrnii’ y los mecanismos generales que permiten su rejuvenecimiento. #LoMásVisto | Investigadores sí descifraron el genoma de la medusa inmortal. El estudio identifica las posibles claves genómicas de la inmortalidad de ‘Turritopsis dohrnii’ y los mecanismos generales que permiten su rejuvenecimiento.,SRC_093
3356,Investigadores sí descifraron el genoma de la medusa inmortal. El estudio identifica las posibles claves genómicas de la inmortalidad de ‘Turritopsis dohrnii’ y los mecanismos generales que permiten su rejuvenecimiento. Lee la verificación completa: Investigadores sí descifraron el genoma de la medusa inmortal. El estudio identifica las posibles claves genómicas de la inmortalidad de ‘Turritopsis dohrnii’ y los mecanismos generales que permiten su rejuvenecimiento. Lee la verificación completa:,SRC_093
3368,"Científicos aseguran que se podría convertir el plástico en diamantes. Han utilizado destellos láser para simular el interior de los planetas de hielo, creando a su vez un nuevo proceso para producir diamantes minúsculos, pero esto sigue en estudio. Científicos aseguran que se podría convertir el plástico en diamantes. Han utilizado destellos láser para simular el interior de los planetas de hielo, creando a su vez un nuevo proceso para producir diamantes minúsculos, pero esto sigue en estudio.",SRC_094
3453,Un estudio determinó que la lactancia después de las vacunas ARNm es segura. Según la investigación realizada por JAMA Pediatrics no se detectó ARNm de la vacuna en muestras antes o después de la vacunación más allá de las 48 horas de la recolección. Un estudio determinó que la lactancia después de las vacunas ARNm es segura. Según la investigación realizada por JAMA Pediatrics no se detectó ARNm de la vacuna en muestras antes o después de la vacunación más allá de las 48 horas de la recolección.,SRC_095
3464,"#LoMásVisto | Científicos en Shanghái crearon una mascarilla que detecta el #Covid19. Un equipo de la Universidad Tongji diseñó este invento que detecta el virus al hablar, toser o estornudar. La mascarilla podría servir para detectar nuevos virus. #LoMásVisto | Científicos en Shanghái crearon una mascarilla que detecta el #Covid19. Un equipo de la Universidad Tongji diseñó este invento que detecta el virus al hablar, toser o estornudar. La mascarilla podría servir para detectar nuevos virus.",SRC_096
3465,#LoMásVisto | El experimento Moxie ha logrado producir oxígeno en Marte. La @NASA ha conseguido este hito de manera fiable y en diferentes condiciones atmosféricas. Moxie emite seis gramos de oxígeno por hora. Lee la verificación completa: #LoMásVisto | El experimento Moxie ha logrado producir oxígeno en Marte. La @NASA ha conseguido este hito de manera fiable y en diferentes condiciones atmosféricas. Moxie emite seis gramos de oxígeno por hora. Lee la verificación completa:,SRC_097
3467,"Existen alrededor de 20.000 billones de hormigas en el planeta. Los científicos definieron el número de estos insectos y el peso de su masa total. Además, recalcan que por cada persona existen 2,5 millones de hormigas. Lee la verificación completa: Existen alrededor de 20.000 billones de hormigas en el planeta. Los científicos definieron el número de estos insectos y el peso de su masa total. Además, recalcan que por cada persona existen 2,5 millones de hormigas. Lee la verificación completa:",SRC_098
3477,El experimento Moxie ha logrado producir oxígeno en Marte. La @NASA ha conseguido este hito de manera fiable y en diferentes condiciones atmosféricas. Moxie emite seis gramos de oxígeno por hora. Lee la verificación completa: El experimento Moxie ha logrado producir oxígeno en Marte. La @NASA ha conseguido este hito de manera fiable y en diferentes condiciones atmosféricas. Moxie emite seis gramos de oxígeno por hora. Lee la verificación completa:,SRC_097
3481,"Científicos en Shanghái crearon una mascarilla que detecta el #Covid19. Un equipo de la Universidad Tongji diseñó este invento que detecta el virus al hablar, toser o estornudar. La mascarilla podría servir para detectar nuevos virus respiratorios. Científicos en Shanghái crearon una mascarilla que detecta el #Covid19. Un equipo de la Universidad Tongji diseñó este invento que detecta el virus al hablar, toser o estornudar. La mascarilla podría servir para detectar nuevos virus respiratorios.",SRC_096
3562,"#LoMásVisto | Un estudio asegura que existen nuevos virus relacionados al SARS-CoV-2. La investigación fue realizada por virólogos rusos, que encontraron dos tipos de virus nuevos en las heces y la boca de los murciélagos de herradura del sur de Rusia. #LoMásVisto | Un estudio asegura que existen nuevos virus relacionados al SARS-CoV-2. La investigación fue realizada por virólogos rusos, que encontraron dos tipos de virus nuevos en las heces y la boca de los murciélagos de herradura del sur de Rusia.",SRC_099
3579,El estudio sugiere que se extinguieron antes del impacto del meteorito. Su análisis de 5.500 muestras geológicas sugiere que los dinosaurios estaban extinguiéndose antes del período Cretácico. El estudio sugiere que se extinguieron antes del impacto del meteorito. Su análisis de 5.500 muestras geológicas sugiere que los dinosaurios estaban extinguiéndose antes del período Cretácico.,SRC_100
3588,"Un estudio asegura que existen nuevos virus relacionados al SARS-CoV-2. La investigación fue realizada por virólogos rusos, que encontraron dos tipos de virus nuevos en las heces y la boca de los murciélagos de herradura del sur de Rusia. Un estudio asegura que existen nuevos virus relacionados al SARS-CoV-2. La investigación fue realizada por virólogos rusos, que encontraron dos tipos de virus nuevos en las heces y la boca de los murciélagos de herradura del sur de Rusia.",SRC_099
3690,Un estudio relaciona los productos para alisar el cabello con el cáncer uterino. La investigación establece que podrían contener sustancias químicas peligrosas con propiedades cancerígenas y disruptoras endocrinas. Lee la verificación completa: Un estudio relaciona los productos para alisar el cabello con el cáncer uterino. La investigación establece que podrían contener sustancias químicas peligrosas con propiedades cancerígenas y disruptoras endocrinas. Lee la verificación completa:,SRC_101
3704,"Un estudio sugiere que un lubricante puede proteger contra el VIH y el herpes. Fue realizado con la extracción del moco de las glándulas salivales de las vacas, que las convirtieron en lubricante a base de mucina, que tiene propiedades antivirales. Un estudio sugiere que un lubricante puede proteger contra el VIH y el herpes. Fue realizado con la extracción del moco de las glándulas salivales de las vacas, que las convirtieron en lubricante a base de mucina, que tiene propiedades antivirales.",SRC_102
3778,"#LoMásVisto | Científicos sí descubrieron un asteroide y lo llamaron ‘asesino de planetas’. Estaba cercano a la Tierra escondido en el resplandor del Sol. Se lo cataloga como ""potencialmente peligroso"", pero cualquier desplazamiento suyo tomaría siglos. #LoMásVisto | Científicos sí descubrieron un asteroide y lo llamaron ‘asesino de planetas’. Estaba cercano a la Tierra escondido en el resplandor del Sol. Se lo cataloga como ""potencialmente peligroso"", pero cualquier desplazamiento suyo tomaría siglos.",SRC_103
3856,Ecuador sí alberga a la población más grande de mantarrayas. El estudio fue publicado en la revista Marine Ecology Progress Series y la información fue compartida por WWF Ecuador. Lee la verificación completa: Ecuador sí alberga a la población más grande de mantarrayas. El estudio fue publicado en la revista Marine Ecology Progress Series y la información fue compartida por WWF Ecuador. Lee la verificación completa:,SRC_104
4090,"Existe la probabilidad de que este joven padezca Alzheimer, pero aún está en estudio. Un grupo de científicos chinos realizaron un análisis y encontraron a un probable paciente en un joven de 19 años. Existe la probabilidad de que este joven padezca Alzheimer, pero aún está en estudio. Un grupo de científicos chinos realizaron un análisis y encontraron a un probable paciente en un joven de 19 años.",SRC_105
4157,"Faltan más mediciones para confirmar que lo que se encontró sí sean galaxias. Un estudio sugiere que son 6 galaxias que tienen más de 12.000 millones de años, solo entre 500 y 700 millones de años después del Big Bang. Lee la verificación completa: Faltan más mediciones para confirmar que lo que se encontró sí sean galaxias. Un estudio sugiere que son 6 galaxias que tienen más de 12.000 millones de años, solo entre 500 y 700 millones de años después del Big Bang. Lee la verificación completa:",SRC_106
4211,"Los sismos no están relacionados con lo que sucede en el núcleo de la Tierra. Los expertos explican que el núcleo no se paró, solo se ralentizó. Esta variación de velocidad no influye, de forma directa, con el movimiento de las placas tectónicas. Los sismos no están relacionados con lo que sucede en el núcleo de la Tierra. Los expertos explican que el núcleo no se paró, solo se ralentizó. Esta variación de velocidad no influye, de forma directa, con el movimiento de las placas tectónicas.",SRC_107
4387,"No es posible predecir un terremoto, el post no tiene fundamento científico. Hay un estudio sobre filtraciones en el lecho marino; sin embargo, no se menciona nada de terremotos y dichas investigaciones siguen en proceso. #NoComasCuento No es posible predecir un terremoto, el post no tiene fundamento científico. Hay un estudio sobre filtraciones en el lecho marino; sin embargo, no se menciona nada de terremotos y dichas investigaciones siguen en proceso. #NoComasCuento",SRC_012
4433,"#LoMásVisto | No es posible predecir un terremoto, el post no tiene fundamento científico. Hay un estudio sobre filtraciones en el lecho marino; sin embargo, no se menciona nada de terremotos y dichas investigaciones siguen en proceso. #NoComasCuento #LoMásVisto | No es posible predecir un terremoto, el post no tiene fundamento científico. Hay un estudio sobre filtraciones en el lecho marino; sin embargo, no se menciona nada de terremotos y dichas investigaciones siguen en proceso. #NoComasCuento",SRC_012
4556,Un estudio asegura que Nueva York se hunde entre uno y dos milímetros por año. Expertos del Servicio Geológico de los Estados Unidos definieron que el peso de los edificios y otros factores provocan esta condición. Lee la verificación completa: Un estudio asegura que Nueva York se hunde entre uno y dos milímetros por año. Expertos del Servicio Geológico de los Estados Unidos definieron que el peso de los edificios y otros factores provocan esta condición. Lee la verificación completa:,SRC_109
4837,Descubrieron un exoplaneta del tamaño de Neptuno. Un grupo de astrónomos informó que el exoplaneta habría nacido de varios planetas: su nombre es TOI-1853b y se encuentra cerca de nuestro sistema solar. Descubrieron un exoplaneta del tamaño de Neptuno. Un grupo de astrónomos informó que el exoplaneta habría nacido de varios planetas: su nombre es TOI-1853b y se encuentra cerca de nuestro sistema solar.,SRC_110
6022,"Los supervivientes del #Covid19 podrían tener mayor riesgo en estos casos. La información sale de un estudio a gran escala (más de 1,25 millones de registros) de la Universidad de Oxford. Elaborado por @TintaDigitalec para #EcuadorVerifica. Los supervivientes del #Covid19 podrían tener mayor riesgo en estos casos. La información sale de un estudio a gran escala (más de 1,25 millones de registros) de la Universidad de Oxford. Elaborado por @TintaDigitalec para #EcuadorVerifica.",SRC_020
6047,Se detectó el primer caso de un perro contagiado con #ViruelaDelMono. Un estudio de The Lancet confirmó que la mascota fue contagiada por el contacto con sus dueños. Elaborado por @conectados_ec para #EcuadorVerifica. Se detectó el primer caso de un perro contagiado con #ViruelaDelMono. Un estudio de The Lancet confirmó que la mascota fue contagiada por el contacto con sus dueños. Elaborado por @conectados_ec para #EcuadorVerifica.,SRC_111